,Title,Year,Genre,Link,Image_name,DIRECTOR,CINEMATOGRAPHER,PRODUCTION DESIGNER,COSTUME DESIGNER,EDITOR,COLORIST,SHOT TIME,TIME PERIOD,COLOR,ASPECT RATIO,FORMAT,FRAME SIZE,SHOT TYPE,LENS SIZE,COMPOSITION,LIGHTING,LIGHTING TYPE,TIME OF DAY,INTERIOR/EXTERIOR,LOCATION TYPE,SET,STORY LOCATION,CAMERA,LENS,FILM STOCK / RESOLUTION,FILMING LOCATION,VFX,ACTORS
4236,DUNE,2021,"Adventure, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_C5XAKJRM.jpg,small_C5XAKJRM, Denis Villeneuve, Greig Fraser, Patrice Vermette," Jacqueline West, Bob Morgan", Joe Walker, David Cole,0.0, Future," Cool, Cyan, Blue", 2.39 - Anamorphic, Digital, Extreme Wide," Aerial, Low angle", Long Lens," Center, Symmetrical"," Low-contrast, Soft light"," Daylight, Overcast", Day, Exterior,, Mountains > Landing Pad, ... Western Continent > Cala City, ARRI ALEXA Mini LF," Panavision H series, Panavision Ultra Vista", ARRIRAW (4.5K),, CGI,
4237,BREAKING BAD,2008,Drama,https://shotdeck.com/assets/images/stills/thumb/small_TN4IXKA9.jpg,small_TN4IXKA9, Tricia Brock, Reynaldo Villalobos, Robb Wilson King, Kathleen Detoro, Kelley Dixon,,0.0, 2000s, Green, 1.78 - Spherical, Film - 35mm, Wide, Establishing shot, Wide, Balanced, Soft light, Daylight, Day, Exterior, Location, House, ... Albuquerque > White Residence," Arriflex 435, Arricam LT, Arricam ST"," Cooke S4/ i, Angenieux Optimo Zooms"," 5201/7201 Vision 2 50D, 5217/7217 Vision 2 200T, 5260 Vision 2 500T", ... Albuquerque > 3828 Piermont Dr NE,,
4238,EMPIRE OF THE SUN,1987,"Drama, History, War",https://shotdeck.com/assets/images/stills/thumb/small_B4C5ASNM.jpg,small_B4C5ASNM, Steven Spielberg," Allen Daviau, Allen Daviau", Norman Reynolds, Bob Ringwood, Michael Kahn,,2.0, 1940s," Warm, Desaturated", 1.78 - Spherical, Film - 35mm, Extreme Wide, Aerial, Wide,, Hard light, Daylight, Day, Exterior, Location, Stadium, ... China > Shanghai, Panavision Gold / G2,,,,,
4239,BULLITT,1968,"Action, Crime, Drama, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_QEE8XDD2.jpg,small_QEE8XDD2, Peter Yates, William A. Fraker,, Theadora Van Runkle, Frank P. Keller,,1.0, 1960s, Blue, 1.78 - Spherical, Film - 35mm, Wide, Insert," Long Lens, Medium", Center," Hard light, Hi-contrast"," Daylight, Sunny", Day, Exterior, Location, San Fransisco > Streets, ... California > San Francisco, Mitchell BNC,,, ... California > San Francisco,,
4240,MISSION: IMPOSSIBLE - FALLOUT,2018,"Action, Adventure",https://shotdeck.com/assets/images/stills/thumb/small_U79LW41C.jpg,small_U79LW41C, Christopher McQuarrie," Rob Hardy, Hugues Espinasse", Peter Wenham,, Eddie Hamilton,,2.0, 2010s," Warm, Desaturated, Pink", 2.39 - Anamorphic, Film - 35mm, Wide, Establishing shot, Wide, Left heavy," Backlight, Hard light, Low-contrast"," Daylight, Practical light, Sunny", Day, Exterior, Location, Rural Village > House, ... Asia > Kashmir," Panavision Millennium / Millenium XL / XL2, Arriflex 435, Arri 235"," Panavision Primo 70s, Angenieux Optimo Zooms, Panavision C series, Panavision E series"," 5219/7219 Vision 3 500T, 5213/7213 Vision 3 200T, 5203/7203 Vision 3 50D", ... Oceana > New Zealand,,
4241,BRAVE,2012,"Action, Adventure, Animation, Comedy, Family, Fantasy",https://shotdeck.com/assets/images/stills/thumb/small_SNJM3VJ8.jpg,small_SNJM3VJ8," Brenda Chapman, Mark Andrews"," Robert Anderson, Danielle Feinberg", Steve Pilcher,, Nicholas C. Smith,,, Ancient," Cool, Green, Cyan, Blue", 2.39, Animation, Extreme Wide," Aerial, Establishing shot",, Right heavy, Top-light," Daylight, Sunny", Day, Exterior, Stage, Forest/Wood, ... Scotland > Stornoway,,,, ... Emeryville > Pixar Animation Studios,,
4242,EMBRACE OF THE SERPENT,2015,"Adventure, Drama",https://shotdeck.com/assets/images/stills/thumb/small_DQOXRLTE.png,small_DQOXRLTE.pn, Ciro Guerra, David Gallego, Angélica Perea, Catherine Rodríguez, Etienne Boussac, Roberto Zambrino,, 1900s,, 2.35 - Spherical, Film - 35mm, Wide, Establishing shot, Medium, Center, Hi-contrast, Daylight, Day, Exterior, Location, Rainforest, ... Colombia > Amazon Rainforest, Arricam LT," Cooke Varotal Lenses, Zeiss Super Speed"," 8573/8673 Eterna 500T, 8543 Fuji Eterna Vivid 160T", ... South America > Colombia,,
4243,MULAN,2020,"Drama, Action, War",https://shotdeck.com/assets/images/stills/thumb/small_DSZWA8P5.jpg,small_DSZWA8P5, Niki Caro, Mandy Walker, Grant Major, Bina Daigeler, David Coulson, Natasha Leonnet,1.0, Renaissance," Warm, Saturated", 2.39 - Spherical, Digital, Extreme Wide," Establishing shot, High angle", Medium, Balanced," Low-contrast, Soft light", Daylight, Day, Exterior, Location, Field, ... Asia > China, ARRI ALEXA 65, Panavision Sphero 65mm Lenses, ARRIRAW (6.5K), ... asia > China, CGI,
4244,MIRROR,1975,"Drama, History",https://shotdeck.com/assets/images/stills/thumb/small_VMIB2WY3.jpg,small_VMIB2WY3, Andrei Tarkovsky, Georgi Rerberg, Nikolay Dvigubskiy, Nelli Fomina, Lyudmila Feiginova,,1.0, 1960s," Desaturated, Sepia, Black and White", 1.37 - Spherical, Film - 35mm, Wide, Establishing shot, Medium, Balanced, Soft light," Daylight, Overcast", Day, Exterior, Location, Forest/Woods, ... Europe > Russia," Arriflex, Mitchell BNCR",, 5254/7254 100T, ... Russia > Moscow Oblast,,
4245,STAR WARS: RETURN OF THE JEDI,1983,"Action, Adventure, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_9N9UR7W3.jpg,small_9N9UR7W3, Richard Marquand, Alan Hume, Norman Reynolds, Mary Selway," Sean Barton, Duwayne Dunham", Mark Nakamine,0.0, Future," Cool, Cyan, Blue", 2.35 - Spherical, Film - 35mm, Extreme Wide, Establishing shot, Wide, Center, Soft light, Daylight, Day, Exterior, Location, Forest, ... Endor," Arriflex BL3, Arri 2c (IIc)"," Cooke Xtal Express, Cooke Varotel Zoom lenses, Cooke Varotal Lenses", 5293/7293 EXR 200T, ... California > Redwood National Park,,
4246,BARAKA,1992,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_BT4FS6UB.jpg,small_BT4FS6UB, Ron Fricke, Ron Fricke,,," David Aubrey, Ron Fricke, Mark Magidson",,0.0, 1990s,, 2.20, Film - 65mm, Extreme Wide,, Wide,, Soft light," Daylight, Overcast", Day, Exterior, Location, City, ... Brazil > São Paulo,, Hassalblad Prime 65 lenses,, ... Brazil > São Paulo,,
4247,THE KINGS OF SUMMER,2013,"Comedy, Drama",https://shotdeck.com/assets/images/stills/thumb/small_0MDQXXVD.jpg,small_0MDQXXVD, Jordan Vogt-Roberts, Ross Riege, Tyler B. Robinson, Lynette Meyer, Terel Gibson,,, 2010s," Warm, Saturated, Green", 2.39 - Spherical, Digital, Medium Wide, Low angle, Wide,, Hard light," Daylight, Sunny", Day, Exterior, Location, Forest/Woods, ... United States > Ohio, RED Epic, Panavision Primo Anamorphics,, ... Ohio > Chagrin Falls,,
4248,ALMOST FAMOUS,2000,"Drama, Music",https://shotdeck.com/assets/images/stills/thumb/small_PBMUKCVC.jpg,small_PBMUKCVC, Cameron Crowe, John Toll, Clay Griffith, Betsy Heimann," Joe Hutshing, Saar Klein", David Orr,1.0, 1970s, Warm, 1.78 - Spherical, Film - 35mm, Wide, Establishing shot, Wide, Right heavy, Soft light," Daylight, Sunny", Day, Exterior, Location, road, ... North America > United States, Panavision Gold / G2, Panavision Primo Primes,, ... North America > United States,,
4249,AVENGERS: INFINITY WAR,2018,"Action, Adventure, Science Fiction, Marvel Cinematic Universe",https://shotdeck.com/assets/images/stills/thumb/small_W4L0KAY5.jpg,small_W4L0KAY5," Anthony Russo, Joe Russo", Trent Opaloch, Charles Wood, Judianna Makovsky," Jeffrey Ford, Matthew Schmidt", Steven J. Scott,0.0, 2010s," Cool, White", 2.39 - Spherical, Digital, Extreme Wide, Establishing shot, Wide, Left heavy, Hard light," Daylight, Sunny", Day, Exterior, Location, New York City, ... New York > New York City, ARRI ALEXA 65," Panavision Primo 70s, Leica Summilux-C, Angenieux Optimo Zooms", ARRIRAW (6.5K), ... United States > New York,,
4250,ONCE UPON A TIME IN THE WEST,1968,"Action, Western, Spaghetti Western",https://shotdeck.com/assets/images/stills/thumb/small_NQ34JC9S.jpg,small_NQ34JC9S, Sergio Leone, Tonino Delli Colli, Carlo Simi," Antonella Pompei, Carlo Simi", Nino Baragli,,0.0, 1800s," Warm, Desaturated, Cyan"," 2.35 - Spherical, 2 perf", Film - 35mm, Extreme Wide,, Wide, Balanced, Hard light," Daylight, Sunny", Day, Exterior, Location, Frontier Settlement > Ranch > Front Yard, ... United States > Old West, Mitchell BNC,,, ... Spain > Tabernas Desert,,
4251,BULLITT,1968,"Action, Crime, Drama, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_B9AP9YD4.jpg,small_B9AP9YD4, Peter Yates, William A. Fraker,, Theadora Van Runkle, Frank P. Keller,,1.0, 1960s, Blue, 1.78 - Spherical, Film - 35mm, Wide, Insert, Medium, Balanced," Hard light, Hi-contrast"," Daylight, Sunny", Day, Exterior, Location, San Fransisco > Streets, ... California > San Francisco, Mitchell BNC,,, ... California > San Francisco,,
4252,"AGUIRRE, THE WRATH OF GOD",1972,"Adventure, Drama, History",https://shotdeck.com/assets/images/stills/thumb/small_GY85Y62U.jpg,small_GY85Y62U, Werner Herzog, Thomas Mauch,,, Beate Mainka-Jellinghaus,,0.0, Renaissance," Cool, Blue", 1.33 - Spherical, Film - 35mm, Extreme Wide, Establishing shot, Wide,,," Daylight, Overcast", Day, Exterior, Location, Mountains, ... South America > Peru,,,, ... South America > Peru,,
4253,HARAKIRI,1962,"Action, Drama, History",https://shotdeck.com/assets/images/stills/thumb/small_86Z1Q61Z.jpg,small_86Z1Q61Z, Masaki Kobayashi, Yoshio Miyajima,, Mitsuzô Ueda, Hisashi Sagara,,0.0, Renaissance," Desaturated, Black and White", 2.35 - Anamorphic, Film - 35mm, Close Up, Insert," Long Lens, Medium", Center," Hard light, Hi-contrast"," Daylight, Sunny", Day, Exterior, Location, Palace > Courtyard, ... Japan > Edo,,,,,,
4254,TOP GUN: MAVERICK,2022,"Action, Drama",https://shotdeck.com/assets/images/stills/thumb/small_VCI2W9IN.jpg,small_VCI2W9IN, Joseph Kosinski, Claudio Miranda, Jeremy Hindle, Marlene Stewart," Chris Lebenzon, Eddie Hamilton"," Stefan Sonnenfeld, Adam Nazarenko",0.0, 2020s," Warm, Saturated, Orange, Yellow", 1.90 - Spherical, Digital, Extreme Wide," Aerial, Establishing shot, High angle", Wide, Center," Hard light, Top-light", Daylight, Day, Exterior, Location, Mountains, ... North America > United States of America, Sony VENICE," Fujinon Premier Lenses, Sigma Cine Lenses, Zeiss Master Primes", 4K, ... United States of America > California,,
4255,SILENCE,2016,"Drama, History",https://shotdeck.com/assets/images/stills/thumb/small_F877TROZ.jpg,small_F877TROZ, Martin Scorsese, Rodrigo Prieto, Dante Ferretti, Dante Ferretti, Thelma Schoonmaker, Tim Stipan,1.0, Renaissance," Warm, Cyan", 2.39 - Anamorphic, Film - 35mm, Wide, Establishing shot, Wide, Balanced, Soft light," Daylight, Sunny", Day, Exterior, Location, Courtyard, ... Earth > Asia," Arricam LT, ARRI ALEXA SXT"," Angenieux Optimo Zooms, Zeiss Master Anamorphics"," 5219/7219 Vision 3 500T, 5207/7207 Vision 3 250D, 5213/7213 Vision 3 200T", ... Republic of China > Taiwan,,
4256,SCHINDLER'S LIST,1993,"Drama, History, War",https://shotdeck.com/assets/images/stills/thumb/small_3BCKYX5J.jpg,small_3BCKYX5J, Steven Spielberg, Janusz Kaminski, Allan Starski, Anna B. Sheppard, Michael Kahn,,2.0, 1940s," Desaturated, Black and White", 1.85 - Spherical, Film - 35mm, Extreme Wide, Establishing shot, Wide,, Hard light," Daylight, Sunny", Day, Exterior, Location, Mountainside, ... Europe > Poland," Arri 3 (III), Arri 535 / 535B"," Zeiss Super Speed, Zeiss Standard Primes"," 5296/7296 EXR 500T, 5222/7222 Kodak Double X", ... Europe > Poland,,
4257,KOYAANISQATSI,1983,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_WELOH3GD.jpg,small_WELOH3GD, Godfrey Reggio, Ron Fricke,,," Ron Fricke, Alton Walpole",,0.0, 1980s,, 1.85 - Spherical, Film - 35mm, Wide, Establishing shot, Telephoto, Center, Soft light," Daylight, Overcast", Day, Exterior, Location, Housing Projects, ... Missouri > St. Louis," Arriflex 35 IIa, Arriflex 16 ST",,, ... Missouri > St. Louis,,
4258,WHITE MATERIAL,2010,Drama,https://shotdeck.com/assets/images/stills/thumb/small_VBJEZZSO.jpg,small_VBJEZZSO, Claire Denis, Yves Cape, Abiassi Saint-P, Judy Shrewsbury, Guy Lecorne,,0.0, 2000s, White, 2.35 - Super 35, Film - 35mm, Wide, Establishing shot, Medium, Center, Soft light," Daylight, Sunny", Day, Exterior, Location, Outside, ... Africa > Cameroon, Aaton 35-III, Cooke S4/ i," 5219/7219 Vision 3 500T, 5217/7217 Vision 2 200T, Eastman EXR 50D 5245", ... Africa > Cameroon,,
4259,BLACK WIDOW,2021,"Action, Adventure, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_DHQ6Q92K.jpg,small_DHQ6Q92K, Cate Shortland, Gabriel Beristain, Charles Wood," Jany Temime, Zoe Taylor, Lorraine Cooksley, Sue Bradbear, Kate Collis, Jessica Davis, Natasha Freeman, Eniko Karadi, Susan MacKenzie, Gary Page, Margarethe Schmoll"," Leigh Folsom Boyd, Matthew Schmidt",,, 2010s,, 2.39 - Anamorphic, Digital, Wide, Insert, Wide, Left heavy, Soft light, Daylight, Day, Exterior, Location, Field, ... Europe > Russia," Panavision Millennium / Millenium XL / XL2, Phantom Flex4K"," Panavision C series, Panavision E series, Panavision Panaspeed Lenses",, ... United Kingdom > England,,
4260,INCENDIES,2010,"Drama, War, Mystery",https://shotdeck.com/assets/images/stills/thumb/small_5YWKAUFO.jpg,small_5YWKAUFO, Denis Villeneuve, André Turpin, André-Line Beauparlant, Sophie Lefebvre, Monique Dartonne,,, 2000s," Warm, Cyan, Blue", 1.85 - Spherical, Film - 35mm, Extreme Wide," Establishing shot, High angle", Wide,,, Daylight, Day, Exterior, Location, Army Base, ... Jordan > Amman, Arri 535,,, ... Jordan > Amman,,
4261,WILD AT HEART,1990,"Comedy, Crime, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_3WUB8KOE.jpg,small_3WUB8KOE, David Lynch, Frederick Elmes, Patricia Norris, Amy Stofsky, Duwayne Dunham,,0.0, 1990s," Warm, Saturated, Orange, Yellow", 2.35 - Anamorphic, Film - 35mm,, Establishing shot, Wide,,," Daylight, Sunny"," Day, Sunset", Exterior, Location, Desert > Open Field, ... United States > Texas, Panavision Cameras, Panavision Lenses,,,,
4262,THE POWER OF THE DOG,2021,"Drama, Western",https://shotdeck.com/assets/images/stills/thumb/small_SYY9R0XJ.jpg,small_SYY9R0XJ, Jane Campion, Ari Wegner, Grant Major, Kirsty Cameron, Peter Sciberras, Trish Cahill,0.0, 1920s,, 2.35 - Anamorphic, Digital, Close Up," Insert, Over the shoulder",,, Soft light," Daylight, Overcast", Day, Exterior, Location, Cemetery, ... United States > Montana, ARRI ALEXA Mini LF, Panavision APO Panatar, ARRIRAW (4.5K), ... Oceana > New Zealand,,
4263,LIVE AND LET DIE,1973,"Adventure, Action, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_B79BZSJN.jpg,small_B79BZSJN, Guy Hamilton, Ted Moore, Syd Cain, Julie Harris," Bert Bates, Raymond Poulton, John Shirley",,1.0, 1970s, Cool, 1.85 - Spherical, Film - 35mm, Medium Close Up, Insert, Medium, Center, Soft light," Daylight, Sunny", Day, Exterior,, Compound,,,,,,,
4264,SUMMER OF SAM,1999,"Drama, Crime, Thriller, Romance",https://shotdeck.com/assets/images/stills/thumb/small_B6PBCP2S.jpg,small_B6PBCP2S, Spike Lee, Ellen Kuras, Thérèse DePrez, Ruth E. Carter, Barry Alexander Brown,,1.0, 1970s," Warm, Saturated, Yellow", 1.85 - Spherical, Film - 35mm - Cross Process, Close Up," Insert, Low angle", Long Lens, Left heavy, Hard light," Daylight, HMI, Sunny", Day, Exterior, Location, Dead End > Street, ... New York City > Bronx,,, 5279/7279 Vision 500T, ... New York City > Throggs Neck,,
4265,THE GRANDMASTER,2013,"Action, Drama, History",https://shotdeck.com/assets/images/stills/thumb/small_NGDEVT9G.jpg,small_NGDEVT9G, Wong Kar-wai, Philippe Le Sourd," William Chang, Alfred Yau"," William Chang, Fung-San Lui"," William Chang, Benjamin Courtines, Hung Poon",,1.0, 1950s," Cool, Desaturated, Cyan, Blue", 2.35 - Anamorphic, Film - 35mm, Medium Close Up,, Medium, Center, Soft light, Daylight, Day, Exterior, Location, Family Compound, ... Guangdong > Foshan," Arriflex 435, Arricam LT, Arricam ST, Phantom Flex"," Cooke S4/ i, Angenieux Optimo Zooms"," 8563/8663 Eterna 250D, 8573/8673 Eterna 500T", ... China > Guangdong,,
4266,KOYAANISQATSI,1983,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_1H47F25N.jpg,small_1H47F25N, Godfrey Reggio, Ron Fricke,,," Ron Fricke, Alton Walpole",,0.0, 1980s, Blue, 1.85 - Spherical, Film - 35mm, Extreme Wide, Establishing shot, Telephoto, Balanced, Soft light, Daylight, Day, Exterior, Location, Housing Projects, ... Missouri > St. Louis," Arriflex 35 IIa, Arriflex 16 ST",,, ... Missouri > St. Louis,,
4267,WHITE MATERIAL,2010,Drama,https://shotdeck.com/assets/images/stills/thumb/small_85ZBXUY6.jpg,small_85ZBXUY6, Claire Denis, Yves Cape, Abiassi Saint-P, Judy Shrewsbury, Guy Lecorne,,0.0, 2000s, Warm, 2.35 - Super 35, Film - 35mm, Close Up, Insert," Long Lens, Medium", Left heavy, Hard light," Daylight, Sunny", Day, Exterior, Location, Outside, ... Africa > Cameroon, Aaton 35-III, Cooke S4/ i," 5219/7219 Vision 3 500T, 5217/7217 Vision 2 200T, Eastman EXR 50D 5245", ... Africa > Cameroon,,
4268,GONE BABY GONE,2007,"Drama, Crime, Mystery",https://shotdeck.com/assets/images/stills/thumb/small_AZ7A9WZV.jpg,small_AZ7A9WZV, Ben Affleck, John Toll, Sharon Seymour, Alix Friedberg, William Goldenberg," Chad Buehler, Skip Kimball",0.0, 2000s, Cyan, 1.85 - Spherical, Film - 35mm, Extreme Wide, Establishing shot, Wide, Left heavy,," Daylight, Overcast", Day, Exterior,, Mountain Face, ... Massachusetts > Boston," Panavision Millennium / Millenium XL / XL2, Panavision Platinum", Panavision Primo Primes, 5279/7279 Vision 500T, ... Massachusetts > Boston,,
4269,BRAVE,2012,"Action, Adventure, Animation, Comedy, Family, Fantasy",https://shotdeck.com/assets/images/stills/thumb/small_SAW2BZRU.jpg,small_SAW2BZRU," Brenda Chapman, Mark Andrews"," Robert Anderson, Danielle Feinberg", Steve Pilcher,, Nicholas C. Smith,,, Ancient," Warm, Desaturated", 2.39, Animation, Extreme Wide, Establishing shot,, Center, Backlight," Daylight, Sunny"," Day, Sunrise", Exterior, Stage,, ... Scotland > Stornoway,,,, ... Emeryville > Pixar Animation Studios,,
4270,ALMOST FAMOUS,2000,"Drama, Music",https://shotdeck.com/assets/images/stills/thumb/small_BN6RPVK1.jpg,small_BN6RPVK1, Cameron Crowe, John Toll, Clay Griffith, Betsy Heimann," Joe Hutshing, Saar Klein", David Orr,1.0, 1970s,, 1.78 - Spherical, Film - 35mm, Medium Wide, Insert, Medium, Balanced, Hard light, Daylight, Day, Exterior, Location, street, ... North America > United States of America, Panavision Gold / G2, Panavision Primo Primes,, ... North America > United States,,
4271,EDWARD SCISSORHANDS,1990,"Drama, Romance, Fantasy",https://shotdeck.com/assets/images/stills/thumb/small_QN8WCWLE.jpg,small_QN8WCWLE, Tim Burton, Stefan Czapsky, Bo Welch, Colleen Atwood," Colleen Halsey, Richard Halsey",,0.0, 1990s," Warm, Saturated, Green", 1.85 - Spherical, Film - 35mm, Wide,, Wide,,," Daylight, Sunny", Day, Exterior, Location, school > yard,," Panavision Platinum, Panavision Gold / G2",, 5245/7289 EXR 50D, ... United States > Flordia,,
4272,BULLITT,1968,"Action, Crime, Drama, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_TNOCU1YO.jpg,small_TNOCU1YO, Peter Yates, William A. Fraker,, Theadora Van Runkle, Frank P. Keller,,1.0, 1960s,, 1.78 - Spherical, Film - 35mm, Extreme Wide, Insert, Telephoto, Left heavy," Hard light, Hi-contrast"," Daylight, Sunny", Day, Exterior, Location, San Fransisco > Streets, ... California > San Francisco, Mitchell BNC,,, ... California > San Francisco,,
4273,ROMA,2018,Drama,https://shotdeck.com/assets/images/stills/thumb/small_PUZKT7MD.jpg,small_PUZKT7MD, Alfonso Cuarón, Alfonso Cuarón, Eugenio Caballero, Anna Terrazas, Alfonso Cuarón, Steven J. Scott,2.0, 1970s," Desaturated, Black and White", 2.39 - Anamorphic, Digital, Wide, Low angle, Medium, Left heavy, Soft light," Daylight, Sunny", Day, Exterior, Location, House > Yard, ... North America > Mexico, ARRI ALEXA 65, Arri Prime 65s series,, ... Roma Sur > 12 Tepeji,,
4274,MACBETH,2015,"Adventure, Drama, History, War",https://shotdeck.com/assets/images/stills/thumb/small_MDIP9D56.jpg,small_MDIP9D56, Justin Kurzel, Adam Arkapaw, Fiona Crombie, Jacqueline Durran, Chris Dickens, Adam Glasman,0.0, Medieval," Cool, Desaturated", 2.39 - Anamorphic, Digital, Close Up, Insert, Long Lens, Center, Soft light," Daylight, Overcast", Day, Exterior,, Rural Village, ... United Kingdom > Scotland," ARRI ALEXA XT / XTplus, Phantom Flex"," Panavision C series, Panavision E series, Panavision G series",, ... Europe > United Kingdom,,
4275,INSECURE,2016,"Comedy, Drama",https://shotdeck.com/assets/images/stills/thumb/small_6S4YUQBG.jpg,small_6S4YUQBG, Debbie Allen, Anette Haellmigk, Christopher Brown,, Mark Sadlek,,0.0, 2010s, Warm, 1.78 - Spherical, Digital, Extreme Wide," Aerial, Establishing shot", Wide,,," Artificial light, Daylight", Day, Exterior, Location,, ... California > Los Angeles, ARRI ALEXA Mini, Cooke S5i,, ... California > Los Angeles,,
4276,PIERROT LE FOU,1965,"Drama, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_U1A3T4UC.jpg,small_U1A3T4UC, Jean-Luc Godard, Raoul Coutard, Pierre Guffroy,, Françoise Collin,,1.0, 1960s,," 2.35 - 2 perf, Spherical", Film - 35mm, Extreme Close Up, Insert, Medium,," Hard light, Top-light"," Daylight, Sunny", Day, Exterior, Location, Beach > Shore, ... France > Paris, Arriflex,,, ... France > Paris,,
4277,STAR WARS: RETURN OF THE JEDI,1983,"Action, Adventure, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_GTYGU45L.jpg,small_GTYGU45L, Richard Marquand, Alan Hume, Norman Reynolds, Mary Selway," Sean Barton, Duwayne Dunham", Mark Nakamine,0.0, Future," Cool, Desaturated, Green", 2.35 - Spherical, Film - 35mm, Close Up," Insert, Low angle", Wide, Center, Hard light, Daylight, Day, Exterior, Location, Forest, ... Endor," Arriflex BL3, Arri 2c (IIc)"," Cooke Xtal Express, Cooke Varotel Zoom lenses, Cooke Varotal Lenses", 5293/7293 EXR 200T, ... California > Redwood National Park,,
4278,BLACK WIDOW,2021,"Action, Adventure, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_81AVRT0X.jpg,small_81AVRT0X, Cate Shortland, Gabriel Beristain, Charles Wood," Jany Temime, Zoe Taylor, Lorraine Cooksley, Sue Bradbear, Kate Collis, Jessica Davis, Natasha Freeman, Eniko Karadi, Susan MacKenzie, Gary Page, Margarethe Schmoll"," Leigh Folsom Boyd, Matthew Schmidt",,, 2010s,, 2.39 - Anamorphic, Digital, Wide, Insert, Medium, Center, Soft light, Daylight, Day, Exterior, Location, Field, ... Europe > Russia," Panavision Millennium / Millenium XL / XL2, Phantom Flex4K"," Panavision C series, Panavision E series, Panavision Panaspeed Lenses",, ... United Kingdom > England,,
4279,THE SUGARLAND EXPRESS,1974,"Crime, Drama",https://shotdeck.com/assets/images/stills/thumb/small_BS2AJRAK.jpg,small_BS2AJRAK, Steven Spielberg, Vilmos Zsigmond, Joe Alves," Robert Ellsworth, James Gilmore"," Verna Fields, Edward M. Abroms",,, 1970s,, 2.35 - Anamorphic, Film - 35mm - Flashing, Close Up, Insert, Medium, Center," Low-contrast, Soft light", Daylight, Day, Exterior,, House (Exterior) > Front Lawn, ... United States of America > Texas," Arriflex 35 IIIc, Panavision Panaflex, Panavision R-200", Panavision C series, Eastman 100T 5247, ... United States of America > Texas,,
4280,THE UNBEARABLE WEIGHT OF MASSIVE TALENT,2022,"Action, Comedy, Crime",https://shotdeck.com/assets/images/stills/thumb/small_Y5S9PACA.jpg,small_Y5S9PACA, Tom Gormican, Nigel Bluck, Kevin Kavanaugh, Paco Delgado, Melissa Bretherton,,, 2020s," Warm, Saturated", 2.20, Digital, Extreme Wide," Establishing shot, High angle", Wide, Balanced, Hard light," Daylight, Sunny", Day, Exterior, Location, Island, ... Spain > Majorca," ARRI ALEXA LF, ARRI ALEXA Mini LF", Panavision T series, 4K, ... Croatia > Dubrovnik,,
4281,STAR TREK,2009,"Action, Adventure, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_NUT71X7P.jpg,small_NUT71X7P, J.J. Abrams, Dan Mindel, Scott Chambliss, Michael Kaplan," Maryann Brandon, Mary Jo Markey",,1.0, Future, Saturated, 2.39 - Anamorphic, Film - 35mm, Extreme Wide, Low angle, Medium,," Backlight, Hard light"," Daylight, Sunny", Day, Exterior,, Drill Platform, ... Vulcan > Drill Platform, Panavision Platinum," Panavision E series, Panavision C series",, ... United States > California,,
4282,BULLITT,1968,"Action, Crime, Drama, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_75MQL7X0.jpg,small_75MQL7X0, Peter Yates, William A. Fraker,, Theadora Van Runkle, Frank P. Keller,,1.0, 1960s,, 1.78 - Spherical, Film - 35mm, Wide, Insert, Telephoto, Balanced," Hard light, Hi-contrast"," Daylight, Sunny", Day, Exterior, Location, San Fransisco > Streets, ... California > San Francisco, Mitchell BNC,,, ... California > San Francisco,,
4283,KOYAANISQATSI,1983,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_B11NETYA.jpg,small_B11NETYA, Godfrey Reggio, Ron Fricke,,," Ron Fricke, Alton Walpole",,0.0, 1980s,, 1.85 - Spherical, Film - 35mm, Extreme Wide, Establishing shot, Medium,," Hard light, Top-light"," Daylight, Sunny", Day, Exterior, Location, Housing Projects, ... Missouri > St. Louis," Arriflex 35 IIa, Arriflex 16 ST",,, ... Missouri > St. Louis,,
